parte,categoria,requisito,status,evidencia,pendencia,prioridade
"Parte I","Modelagem","Definir PEAS: Performance, Environment, Actuators, Sensors","Parcial","notebooks/parte_01_agente_peas_formulacao.ipynb contém estrutura e texto base","Consolidar e revisar no relatório técnico final com justificativa dos pesos da função de desempenho","Alta"
"Parte I","Classificacao","Justificar tipo de agente: no mínimo baseado em objetivos com modelo interno","Parcial","notebooks/parte_01_agente_peas_formulacao.ipynb contém resposta base","Transformar em texto final no relatório técnico","Alta"
"Parte I","Formulação formal","Formular busca clássica como <S,A,T,s0,G,c>","Parcial","notebooks/parte_01_agente_peas_formulacao.ipynb contém formulação base","Detalhar formalmente no relatório técnico","Alta"
"Parte I","Ambiente e mapas","Leitura/representação de labirintos em matriz","Feito","src/utils/Maze.py; datasets/mazes.csv; datasets/mazes/*.txt","Validar com mapas ocultos novos do professor","Média"
"Parte I","Reprodutibilidade","Permitir execução em mapas novos","Parcial","Maze.create, Maze.open, menu de geração em lote e simulação temporária existem","README ainda está incompleto e caminho de execução documentado está errado","Alta"
"Parte II","Algoritmos clássicos","Implementar BFS","Feito","src/utils/buscas/classicas/bfs.py; datasets/resultado_bfs.csv com 50 mapas","Corrigir métrica de fronteira máxima se for regenerar resultados","Média"
"Parte II","Algoritmos clássicos","Implementar DFS","Parcial","src/utils/buscas/classicas/dfs.py; datasets/resultado_dfs.csv tem 44 linhas e 43 IDs únicos","Regenerar DFS para 50 mapas; remover/explicar 1 linha com maze_id nulo","Alta"
"Parte II","Algoritmos clássicos","Implementar UCS","Feito","src/utils/buscas/classicas/ucs.py; datasets/resultado_ucs.csv com 50 mapas","Corrigir métrica de fronteira máxima se for regenerar resultados","Média"
"Parte II","Algoritmos clássicos","Implementar Busca Gulosa","Feito","src/utils/buscas/classicas/greedy.py; datasets/resultado_guloso.csv com 50 mapas","Corrigir métrica de fronteira máxima se for regenerar resultados","Média"
"Parte II","Algoritmos clássicos","Implementar A*","Feito","src/utils/buscas/classicas/a_star.py; datasets/resultado_a_star.csv com 50 mapas","Corrigir métrica de fronteira máxima se for regenerar resultados","Média"
"Parte II","Heurística","Usar/justificar distância de Manhattan nas buscas heurísticas","Parcial","src/utils/buscas/auxiliar_busca.py contém heuristica_manhattan; notebook Parte II explica admissibilidade","Incluir justificativa no relatório técnico","Alta"
"Parte II","Métricas","Registrar sucesso, custo, passos, expandidos, tempo e fronteira","Parcial","CSVs clássicos contêm sucesso,custo,passos,expandidos,fronteira,tempo_segundos","Não há métrica separada de nós explorados; fronteira parece contar inserções em alguns algoritmos, não máximo","Alta"
"Parte II","Métricas","Registrar número de nós explorados","Pendente","Classe Resultado não possui campo explorados","Adicionar campo explorados ou justificar expandidos como métrica usada; idealmente regenerar CSVs","Alta"
"Parte II","Análise","Responder questões: BFS ótimo, DFS qualidade, UCS vs BFS, Gulosa, A*, heurística admissível","Parcial","notebooks/parte_02_busca_classica_analise.ipynb contém tabelas, gráficos e roteiro de respostas","Escrever análise textual final no relatório técnico após regenerar dados faltantes/corrigidos","Alta"
